"(0, 1000, 'epsilon_greedy', 0.1, 10)","(0.75, 1000, 'greedy', 0, 5)","(1, 1000, 'greedy', 0, 10)","(1, 1000, 'epsilon_greedy', 0.1, 10)","(1, 1000, 'boltzmann_exploration', 1.5, 10)"
44.8,80.4,80.4,31.2,48.0
34.0,50.8,50.8,34.8,48.0
25.6,68.8,68.8,25.2,62.0
26.0,46.0,46.0,43.2,28.0
45.2,75.2,75.2,41.2,60.4
35.2,90.4,90.4,46.4,42.0
37.2,54.4,54.4,44.0,42.8
39.6,62.4,62.4,53.6,58.4
32.8,69.2,69.2,22.8,49.2
45.6,60.0,60.0,28.8,54.4
27.2,72.8,72.8,31.2,64.4
34.4,77.6,77.6,29.6,66.0
40.0,80.0,80.0,36.0,56.4
31.6,35.6,35.6,30.0,36.0
31.6,52.4,52.4,38.0,27.6
28.4,51.2,51.2,21.2,33.6
32.8,82.8,82.8,31.2,43.6
40.0,71.2,71.2,32.8,44.4
37.6,48.4,48.4,38.0,39.6
49.6,48.0,48.0,36.4,56.0
32.0,64.4,64.4,32.4,38.4
22.0,101.2,101.2,81.2,43.6
28.4,72.8,72.8,38.4,36.0
38.4,70.8,70.8,51.2,43.2
38.8,65.2,65.2,33.2,50.0
20.8,45.2,45.2,26.8,46.0
22.4,56.0,56.0,38.8,28.4
30.4,95.6,95.6,50.0,43.2
36.4,50.8,50.8,31.6,35.2
28.0,64.4,64.4,37.2,36.8
33.2,49.2,49.2,28.4,31.6
33.2,70.8,70.8,38.0,34.0
42.4,65.6,65.6,30.4,40.0
34.0,51.2,51.2,24.4,37.2
38.8,73.6,73.6,29.6,35.6
40.8,56.4,56.4,23.6,26.4
46.8,76.8,76.8,32.4,29.2
26.0,71.6,71.6,28.4,34.8
38.0,44.4,44.4,47.2,38.8
31.2,73.2,73.2,24.4,47.2
20.4,62.0,62.0,25.2,41.2
23.2,83.2,83.2,42.4,27.6
24.4,66.8,66.8,27.6,48.8
28.8,59.6,59.6,26.0,43.2
26.8,30.0,30.0,24.0,15.2
26.4,72.0,72.0,18.8,37.2
26.0,52.8,52.8,21.2,42.8
24.4,41.6,41.6,25.6,33.2
23.2,60.4,60.4,40.0,40.0
40.4,74.8,74.8,34.0,47.2
29.6,40.4,40.4,28.0,44.0
34.4,92.8,92.8,23.2,60.4
25.2,58.8,58.8,32.0,27.2
36.0,76.8,76.8,37.2,57.6
34.0,53.6,53.6,23.2,46.4
42.4,72.8,72.8,25.2,44.0
32.0,63.6,63.6,33.2,49.2
35.6,49.6,49.6,16.0,50.4
32.4,98.8,98.8,26.4,75.2
32.8,69.6,69.6,21.2,54.8
38.8,51.2,51.2,18.0,51.2
33.6,64.8,64.8,18.8,61.2
38.4,79.6,79.6,29.2,75.2
32.0,41.2,41.2,26.0,35.2
29.2,60.8,60.8,25.6,41.2
23.6,71.6,71.6,25.6,45.2
26.8,53.6,53.6,34.0,36.8
40.4,96.0,96.0,23.2,64.4
27.6,62.4,62.4,28.0,52.8
42.0,51.6,51.6,32.4,27.2
81.6,73.2,73.2,54.0,35.6
22.4,88.8,88.8,40.4,51.6
25.2,55.2,55.2,44.0,40.0
30.0,35.6,35.6,28.0,39.6
49.2,69.2,69.2,40.0,44.8
46.0,53.6,53.6,30.8,36.4
32.0,57.6,57.6,37.2,50.8
48.0,64.0,64.0,47.6,45.2
31.6,47.6,47.6,39.6,33.2
25.2,62.8,62.8,26.4,31.6
50.4,58.8,58.8,29.2,38.8
69.6,85.2,85.2,37.6,58.0
34.8,71.6,71.6,37.2,54.4
45.2,67.6,67.6,26.4,70.8
34.8,61.6,61.6,28.8,36.8
57.2,61.2,61.2,39.6,46.8
49.6,78.4,78.4,33.2,26.0
32.4,22.4,22.4,35.6,21.6
54.0,67.6,67.6,36.0,27.2
34.8,40.8,40.8,35.2,32.4
43.2,44.0,44.0,31.2,26.4
33.6,47.2,47.2,34.8,27.6
36.4,39.2,39.2,27.2,45.6
48.4,72.4,72.4,48.4,56.8
22.0,20.4,20.4,24.4,24.8
45.2,53.2,53.2,49.6,52.0
32.0,62.8,62.8,40.4,26.8
60.4,69.6,69.6,43.6,27.2
32.8,43.2,43.2,26.8,30.4
45.6,38.8,38.8,41.2,28.8
40.8,48.8,48.8,44.0,38.4
42.8,101.6,101.6,80.8,50.8
36.0,106.8,106.8,74.8,44.0
35.2,78.8,78.8,62.0,33.2
36.4,60.0,60.0,44.0,34.0
33.6,70.8,70.8,48.4,38.0
32.0,62.4,62.4,50.8,32.8
39.6,67.2,67.2,34.8,33.2
30.4,63.2,63.2,36.4,34.0
49.6,64.8,64.8,45.6,38.4
51.6,63.2,63.2,59.6,32.8
50.0,62.4,62.4,70.0,26.8
33.2,74.4,74.4,41.2,37.2
40.8,73.6,73.6,56.4,40.0
28.0,78.4,78.4,59.6,34.0
24.8,60.0,60.0,32.4,32.8
44.8,61.6,61.6,31.2,32.4
53.2,84.4,84.4,51.6,42.4
34.8,50.8,50.8,36.4,28.8
29.2,44.4,44.4,41.6,30.8
39.6,49.6,49.6,43.6,27.2
36.8,49.6,49.6,30.0,35.6
43.6,55.6,55.6,49.2,33.6
47.6,62.0,62.0,38.4,35.6
54.8,70.0,70.0,40.4,33.2
41.2,99.2,99.2,44.4,42.4
51.6,80.4,80.4,29.2,48.8
82.4,94.8,94.8,58.4,72.4
58.4,70.0,70.0,47.2,48.8
39.6,58.8,58.8,20.4,39.2
48.8,58.4,58.4,47.6,35.2
65.6,93.2,93.2,62.0,39.2
55.2,72.4,72.4,39.6,45.6
42.8,52.0,52.0,44.0,35.2
36.0,42.4,42.4,33.2,35.6
34.0,29.2,29.2,24.0,25.2
44.8,61.6,61.6,44.8,42.8
34.4,52.4,52.4,30.8,30.8
37.6,56.4,56.4,40.8,46.0
43.2,66.4,66.4,26.8,24.0
59.6,95.2,95.2,59.6,50.8
46.0,58.4,58.4,58.8,30.4
42.0,72.0,72.0,49.2,39.6
36.4,76.0,76.0,45.2,32.0
59.6,51.2,51.2,31.2,30.8
38.0,72.8,72.8,46.0,58.0
52.8,86.8,86.8,70.0,36.0
51.2,74.4,74.4,43.2,28.8
37.2,45.6,45.6,23.2,35.2
39.6,49.6,49.6,45.2,30.0
42.0,72.0,72.0,38.4,56.0
48.4,53.6,53.6,46.8,20.0
48.0,65.2,65.2,58.8,26.0
53.2,64.0,64.0,53.6,25.2
45.2,99.2,99.2,58.8,33.2
35.2,50.8,50.8,30.0,36.0
50.8,82.4,82.4,45.2,53.6
52.0,72.4,72.4,62.4,25.6
43.6,66.0,66.0,38.0,25.6
28.0,75.2,75.2,23.6,34.8
46.0,45.2,45.2,39.2,38.4
50.4,78.0,78.0,39.6,44.0
41.6,69.6,69.6,38.4,36.4
28.8,54.8,54.8,32.4,36.0
33.2,68.0,68.0,44.4,34.8
39.6,57.2,57.2,35.2,32.0
39.2,86.8,86.8,30.4,59.6
42.8,74.4,74.4,66.0,38.0
56.0,53.6,53.6,33.6,52.8
41.2,65.2,65.2,45.2,45.6
65.2,53.6,53.6,34.0,32.8
65.6,97.6,97.6,56.4,26.8
18.4,36.4,36.4,40.8,20.8
23.2,60.8,60.8,36.0,31.2
25.2,45.6,45.6,33.2,28.8
28.4,66.0,66.0,22.0,25.6
19.2,77.2,77.2,50.4,27.2
35.6,90.8,90.8,35.2,21.6
38.8,76.4,76.4,34.0,31.6
32.0,64.0,64.0,36.0,48.8
46.0,69.6,69.6,38.0,25.2
48.4,76.4,76.4,42.8,29.6
33.2,56.8,56.8,30.0,26.0
40.8,88.8,88.8,35.2,32.4
39.2,41.2,41.2,42.8,37.6
36.0,72.8,72.8,26.0,55.2
56.0,96.8,96.8,36.8,50.8
40.4,64.8,64.8,29.6,50.0
40.8,74.0,74.0,34.8,50.4
50.4,60.0,60.0,49.6,58.8
29.6,52.0,52.0,31.2,35.6
43.6,82.4,82.4,40.4,61.6
26.0,49.6,49.6,39.6,40.0
44.4,59.6,59.6,35.6,39.6
33.2,60.0,60.0,34.8,45.2
36.8,47.6,47.6,44.0,31.2
46.0,65.6,65.6,42.0,48.4
51.2,71.2,71.2,50.8,43.2
70.8,77.6,77.6,55.2,60.0
42.0,70.8,70.8,43.6,47.2
28.0,60.4,60.4,29.2,33.2
22.0,49.2,49.2,26.0,37.2
32.0,104.8,104.8,26.4,50.0
46.8,44.8,44.8,37.6,34.8
27.6,48.0,48.0,38.8,39.6
24.4,60.4,60.4,24.0,47.2
32.8,71.2,71.2,22.8,50.8
34.4,48.4,48.4,27.6,40.8
20.0,104.4,104.4,24.0,54.4
60.8,66.4,66.4,30.8,52.0
33.6,70.0,70.0,23.6,58.0
32.0,70.4,70.4,35.6,45.6
39.2,50.4,50.4,27.2,57.6
25.2,80.0,80.0,25.2,49.6
46.8,52.0,52.0,26.0,38.0
22.0,43.2,43.2,23.2,33.6
32.0,50.8,50.8,31.6,38.8
35.2,66.8,66.8,27.6,50.8
37.6,83.6,83.6,22.4,58.0
32.4,41.2,41.2,26.0,24.4
49.2,75.2,75.2,32.0,32.4
41.2,65.2,65.2,29.6,40.0
32.8,50.4,50.4,28.8,28.4
29.6,71.6,71.6,40.0,35.2
29.2,42.8,42.8,25.6,36.8
20.4,36.4,36.4,26.8,44.4
40.0,48.8,48.8,30.8,42.0
27.2,35.2,35.2,28.8,32.4
45.2,49.6,49.6,48.0,59.2
54.4,58.4,58.4,32.4,44.8
67.6,66.8,66.8,38.8,32.0
74.8,79.2,79.2,36.8,30.4
50.4,56.8,56.8,33.2,36.0
51.2,76.0,76.0,30.8,39.2
49.6,78.0,78.0,34.8,30.0
45.2,49.6,49.6,34.8,43.2
68.4,102.0,102.0,35.6,31.2
22.4,54.8,54.8,26.0,40.4
68.4,101.2,101.2,38.4,57.2
45.6,62.8,62.8,27.6,60.4
57.2,53.6,53.6,45.2,37.2
35.2,43.6,43.6,55.6,30.0
54.8,65.2,65.2,30.8,58.4
32.0,33.2,33.2,33.6,28.4
44.8,67.6,67.6,36.4,36.8
72.4,91.2,91.2,50.8,46.0
35.2,52.4,52.4,39.6,30.4
38.4,60.8,60.8,38.0,20.8
41.6,58.4,58.4,40.4,34.0
48.4,85.2,85.2,26.8,34.8
38.0,65.6,65.6,35.2,27.2
46.8,44.8,44.8,36.0,34.8
28.0,59.2,59.2,27.6,31.6
27.2,56.0,56.0,45.6,34.0
37.6,54.4,54.4,24.4,38.8
34.8,64.0,64.0,44.0,48.0
28.0,66.0,66.0,33.6,34.4
29.6,59.2,59.2,26.8,57.2
43.6,46.0,46.0,30.8,29.2
26.8,57.2,57.2,44.8,25.6
46.0,53.2,53.2,40.4,28.4
26.8,56.4,56.4,30.8,23.6
29.6,76.4,76.4,40.0,27.6
30.4,54.0,54.0,37.2,29.2
32.4,69.6,69.6,34.4,46.0
38.8,73.2,73.2,39.2,22.8
30.8,71.2,71.2,50.4,25.6
32.0,80.0,80.0,49.6,28.4
32.4,72.8,72.8,47.2,37.6
30.4,69.6,69.6,48.0,26.0
74.4,85.2,85.2,74.8,48.0
22.0,35.6,35.6,20.0,35.6
31.2,71.2,71.2,51.6,40.4
37.6,49.2,49.2,33.6,34.0
54.0,57.2,57.2,31.6,30.8
45.2,54.4,54.4,38.8,30.4
31.6,36.0,36.0,48.0,27.6
38.0,47.6,47.6,24.4,39.2
37.6,53.6,53.6,34.4,40.4
25.2,60.0,60.0,40.0,37.2
26.8,52.4,52.4,25.6,50.0
40.0,54.0,54.0,30.0,54.0
22.8,37.2,37.2,30.8,19.2
24.8,78.0,78.0,37.2,33.6
38.0,67.6,67.6,53.6,36.4
28.4,50.8,50.8,32.0,41.2
40.8,62.4,62.4,43.2,43.2
36.4,66.4,66.4,53.2,26.8
27.6,56.4,56.4,34.8,38.0
22.8,50.4,50.4,29.6,36.4
41.2,74.4,74.4,34.8,37.6
47.6,62.4,62.4,45.2,26.4
24.0,30.0,30.0,25.2,36.0
21.2,54.4,54.4,22.0,38.0
25.2,60.4,60.4,23.2,30.0
31.2,64.4,64.4,26.0,28.8
19.6,94.0,94.0,24.4,37.2
19.2,77.6,77.6,24.4,31.2
20.8,43.2,43.2,22.8,33.6
42.4,69.6,69.6,24.8,45.6
45.2,86.0,86.0,22.4,24.8
28.4,64.0,64.0,37.2,32.4
32.8,56.8,56.8,22.8,20.0
70.4,107.2,107.2,44.0,53.2
45.6,62.0,62.0,31.2,24.8
49.2,63.6,63.6,30.4,26.8
26.8,31.6,31.6,26.8,24.0
17.2,44.4,44.4,23.2,20.0
34.8,71.2,71.2,43.6,33.2
34.8,47.2,47.2,35.2,23.6
35.6,36.8,36.8,39.6,28.4
47.6,59.2,59.2,28.0,29.2
38.8,80.4,80.4,22.0,28.0
42.8,68.8,68.8,34.0,35.6
40.4,55.6,55.6,35.2,25.6
28.0,38.8,38.8,30.4,36.8
39.2,65.6,65.6,48.8,39.2
22.4,44.8,44.8,25.2,31.6
32.4,69.2,69.2,28.4,34.0
48.4,61.6,61.6,32.8,31.2
55.2,66.8,66.8,36.0,50.4
54.4,73.6,73.6,30.8,30.4
52.8,75.6,75.6,34.0,35.2
50.4,61.6,61.6,46.8,57.2
46.4,59.2,59.2,44.8,46.0
64.0,98.8,98.8,64.0,53.6
53.2,57.6,57.6,50.0,51.2
55.6,94.4,94.4,44.0,34.0
42.4,68.8,68.8,42.8,36.8
23.2,47.6,47.6,34.8,40.0
37.2,54.8,54.8,38.0,45.2
26.0,66.8,66.8,23.6,34.4
64.8,99.6,99.6,40.4,30.4
38.0,67.6,67.6,36.0,44.4
33.2,50.8,50.8,29.2,32.4
44.0,65.6,65.6,37.2,33.6
30.4,47.2,47.2,44.0,26.0
60.4,82.8,82.8,40.0,35.2
68.4,73.2,73.2,34.4,40.8
53.2,76.4,76.4,50.0,24.8
42.8,77.2,77.2,48.0,35.2
50.8,69.6,69.6,48.4,60.0
54.0,72.8,72.8,54.8,25.2
43.2,65.6,65.6,33.6,37.6
42.4,68.8,68.8,42.0,46.4
64.0,74.4,74.4,30.0,44.0
40.4,46.8,46.8,37.6,35.2
29.6,49.6,49.6,30.4,28.4
89.2,129.2,129.2,72.0,44.8
41.6,64.0,64.0,55.6,39.2
41.2,54.8,54.8,49.2,31.6
66.8,75.2,75.2,70.4,35.6
25.6,49.6,49.6,23.6,42.0
82.4,93.6,93.6,64.4,44.4
48.0,61.2,61.2,58.8,36.0
42.0,42.0,42.0,18.8,36.0
46.0,74.8,74.8,50.4,38.4
48.8,45.6,45.6,26.4,47.6
30.8,70.0,70.0,49.2,48.8
31.2,47.6,47.6,37.6,30.8
33.6,35.6,35.6,32.0,38.0
34.0,57.2,57.2,29.2,41.2
36.4,86.4,86.4,32.0,58.4
36.4,46.0,46.0,37.6,51.6
34.0,86.8,86.8,45.6,34.0
36.8,64.0,64.0,23.6,35.6
45.2,57.6,57.6,29.2,36.8
23.2,32.0,32.0,28.4,24.0
55.6,76.4,76.4,24.8,47.2
40.8,51.6,51.6,28.8,32.4
25.2,69.2,69.2,24.4,39.2
32.0,78.0,78.0,26.4,36.8
22.4,78.4,78.4,21.6,46.4
43.2,48.8,48.8,39.2,28.8
27.6,74.4,74.4,24.8,45.6
34.8,58.4,58.4,34.8,36.0
48.0,58.4,58.4,61.6,44.8
29.2,71.2,71.2,46.8,45.6
36.0,61.2,61.2,38.0,31.2
24.4,73.6,73.6,36.8,48.8
27.6,52.0,52.0,23.2,48.0
33.2,79.2,79.2,42.8,41.6
53.6,86.8,86.8,44.8,32.4
26.8,32.0,32.0,42.0,24.4
52.4,75.2,75.2,43.2,42.8
27.6,52.8,52.8,38.4,28.4
29.6,54.8,54.8,33.2,39.2
39.2,42.4,42.4,26.8,24.8
20.0,44.8,44.8,33.6,23.2
39.2,46.8,46.8,27.2,32.0
39.2,91.6,91.6,40.4,43.6
44.4,38.0,38.0,43.2,40.4
46.0,87.6,87.6,38.4,43.6
34.8,60.4,60.4,42.0,46.0
49.2,56.4,56.4,41.6,38.8
39.2,66.4,66.4,25.2,23.2
34.0,52.4,52.4,38.8,24.0
57.2,85.2,85.2,40.8,35.2
46.8,50.8,50.8,33.6,26.0
22.0,40.4,40.4,24.4,29.6
58.0,62.8,62.8,31.6,49.2
48.0,87.6,87.6,29.2,36.0
39.6,60.0,60.0,34.0,45.2
25.6,38.4,38.4,22.0,22.0
40.0,68.8,68.8,27.2,20.0
38.8,50.8,50.8,27.2,32.0
28.4,31.6,31.6,22.0,22.0
27.6,45.6,45.6,18.4,28.8
46.8,44.4,44.4,26.4,24.4
59.2,75.2,75.2,36.4,30.4
38.0,65.2,65.2,36.0,25.2
34.4,78.8,78.8,48.8,41.2
44.4,82.0,82.0,22.8,46.0
55.2,63.6,63.6,26.8,34.8
43.6,62.0,62.0,21.6,46.0
66.4,76.8,76.8,26.4,34.8
56.0,64.4,64.4,27.2,35.2
44.4,62.8,62.8,23.6,34.8
26.8,59.2,59.2,24.8,35.2
21.2,66.4,66.4,26.8,28.0
51.2,61.2,61.2,26.8,30.8
36.0,57.2,57.2,23.6,24.4
52.8,64.8,64.8,30.4,42.0
31.6,54.0,54.0,25.6,31.2
57.2,54.0,54.0,26.4,32.8
48.8,82.0,82.0,30.0,46.0
50.8,68.0,68.0,22.4,44.4
40.0,53.6,53.6,29.2,32.0
50.8,46.0,46.0,25.2,22.8
49.6,57.2,57.2,26.4,31.2
57.6,51.2,51.2,30.8,44.4
35.2,66.0,66.0,23.6,41.2
47.2,76.8,76.8,28.4,68.4
54.0,80.8,80.8,38.4,52.8
51.6,66.8,66.8,36.8,37.6
28.8,42.4,42.4,37.2,42.4
50.4,74.8,74.8,42.4,47.2
40.0,57.6,57.6,30.8,40.4
59.6,80.8,80.8,31.6,40.4
78.0,91.6,91.6,43.6,68.8
61.6,86.0,86.0,40.4,52.4
90.0,106.4,106.4,49.6,85.2
32.0,41.6,41.6,31.2,33.2
29.6,64.4,64.4,38.8,43.2
33.6,48.4,48.4,40.8,58.4
50.4,82.8,82.8,34.8,60.8
70.4,96.0,96.0,47.2,74.4
59.6,69.6,69.6,48.0,66.0
59.2,89.6,89.6,36.8,54.4
29.6,64.0,64.0,24.0,45.6
60.0,60.8,60.8,54.4,48.8
28.4,72.4,72.4,47.6,40.0
27.2,49.2,49.2,48.0,46.0
35.6,62.8,62.8,60.0,58.8
36.8,60.8,60.8,44.4,49.6
50.0,66.0,66.0,40.4,54.4
49.6,48.0,48.0,26.0,29.6
33.6,59.2,59.2,34.0,37.2
48.4,60.8,60.8,50.8,55.6
37.6,67.6,67.6,59.2,58.0
27.6,65.2,65.2,44.8,54.8
40.4,74.4,74.4,41.2,60.8
44.8,82.8,82.8,62.8,73.2
28.8,72.0,72.0,30.4,58.8
35.2,52.4,52.4,42.4,41.2
33.2,56.0,56.0,34.4,50.0
35.6,54.4,54.4,33.6,35.2
38.4,54.0,54.0,38.0,34.4
26.4,42.4,42.4,43.2,42.0
55.2,68.4,68.4,54.0,51.2
41.6,63.6,63.6,52.4,52.0
26.0,47.6,47.6,26.8,21.2
66.0,77.6,77.6,70.0,27.6
41.6,54.0,54.0,35.6,57.2
33.2,37.2,37.2,41.2,38.4
35.2,60.4,60.4,39.6,30.8
24.8,62.8,62.8,38.4,44.0
44.8,69.6,69.6,36.8,43.2
52.8,65.2,65.2,26.0,29.2
43.2,42.0,42.0,33.2,34.4
41.2,86.8,86.8,23.2,44.8
62.0,81.2,81.2,43.2,44.0
66.0,76.0,76.0,31.6,25.6
34.4,68.8,68.8,31.6,39.2
44.8,47.6,47.6,27.2,30.0
52.8,55.2,55.2,43.6,44.4
43.6,63.2,63.2,53.6,46.8
56.0,66.8,66.8,34.4,38.0
48.0,29.2,29.2,29.2,26.4
26.0,43.2,43.2,26.8,26.8
52.0,68.0,68.0,27.6,34.4
45.6,58.8,58.8,40.8,50.0
51.6,52.8,52.8,33.2,24.8
53.2,67.6,67.6,26.8,29.6
79.6,66.0,66.0,25.2,34.8
51.2,59.2,59.2,27.2,32.4
75.2,90.8,90.8,26.0,32.4
41.6,58.0,58.0,23.6,34.4
70.0,97.2,97.2,28.0,28.8
49.6,56.8,56.8,30.4,36.0
72.0,104.8,104.8,41.6,37.2
62.0,61.2,61.2,23.2,44.0
43.6,62.4,62.4,20.4,40.4
51.2,75.6,75.6,37.6,42.0
