number of states,n of steps,alpha,RMSE
20,1,0.01,0.25579374646465486
20,1,0.02,0.2389966982569099
20,1,0.05,0.1936905340196865
20,1,0.08,0.15345638429903574
20,1,0.11,0.11728129722786458
20,1,0.14,0.08592638181507549
20,1,0.17,0.060195790112001143
20,1,0.2,0.03620628967139305
20,1,0.25,0.016541496421776283
20,1,0.3,0.02974194083627844
20,1,0.35,0.05498783522003223
20,1,0.4,0.07763786210466288
20,1,0.45,0.09609012560660804
20,1,0.5,0.118213122012517
20,1,0.55,0.12898287145880788
20,1,0.6,0.14644746346753046
20,1,0.65,0.16410056408606633
20,1,0.7,0.17996473711541122
20,1,0.75,0.19959586422931044
20,1,0.8,0.211352346731929
20,1,0.85,0.22345470978528062
20,1,0.9,0.23984520652659128
20,1,0.95,0.25893037385789364
20,1,1.0,0.2756324617461702
20,2,0.01,0.23914093036835576
20,2,0.02,0.20832252849027996
20,2,0.05,0.1331203799293097
20,2,0.08,0.07914166336076169
20,2,0.11,0.04321300549035529
20,2,0.14,0.01928730620746255
20,2,0.17,0.018628696751504605
20,2,0.2,0.02980673941334554
20,2,0.25,0.048398434760021265
20,2,0.3,0.06924584271137874
20,2,0.35,0.0783477266597151
20,2,0.4,0.09496522348349783
20,2,0.45,0.10679222270122875
20,2,0.5,0.11368663943106243
20,2,0.55,0.13078225968592042
20,2,0.6,0.14362346481653138
20,2,0.65,0.15376750289221247
20,2,0.7,0.16358479122412434
20,2,0.75,0.17930530998086533
20,2,0.8,0.19133055421571052
20,2,0.85,0.20804697312104276
20,2,0.9,0.21779951900484226
20,2,0.95,0.22702347552483776
20,2,1.0,0.2472552501569152
20,5,0.01,0.19851356804235515
20,5,0.02,0.1414864379773083
20,5,0.05,0.04338917542255844
20,5,0.08,0.0083705933341243
20,5,0.11,0.020267025936364355
20,5,0.14,0.040154870049693404
20,5,0.17,0.04387390304854906
20,5,0.2,0.054444702439354425
20,5,0.25,0.06542487191603243
20,5,0.3,0.0785811732043544
20,5,0.35,0.08526386956498372
20,5,0.4,0.09782305539794904
20,5,0.45,0.10467498335879626
20,5,0.5,0.10869566903099442
20,5,0.55,0.10654478311550555
20,5,0.6,0.11763067235824079
20,5,0.65,0.13064406995443184
20,5,0.7,0.13638971411714254
20,5,0.75,0.1343305425211616
20,5,0.8,0.14348571606222882
20,5,0.85,0.1446509360269813
20,5,0.9,0.1535540607795475
20,5,0.95,0.15583308912619795
20,5,1.0,0.16017376477012368
20,10,0.01,0.15713582904299228
20,10,0.02,0.09067451051477926
20,10,0.05,0.018977910863540354
20,10,0.08,0.021905607292704254
20,10,0.11,0.039122288482006384
20,10,0.14,0.043971588562869354
20,10,0.17,0.047046152011612774
20,10,0.2,0.058736696950681844
20,10,0.25,0.06396905505471202
20,10,0.3,0.07482951671403715
20,10,0.35,0.09263117970215892
20,10,0.4,0.08948793009377552
20,10,0.45,0.09893590830964372
20,10,0.5,0.1010869927145304
20,10,0.55,0.11645698532319329
20,10,0.6,0.10838828825783034
20,10,0.65,0.11142781049218622
20,10,0.7,0.12754449017025166
20,10,0.75,0.11477974580391345
20,10,0.8,0.11736165260723116
20,10,0.85,0.12933521159817815
20,10,0.9,0.12517819699376592
20,10,0.95,0.12144782703155052
20,10,1.0,0.14204515266923187
20,25,0.01,0.11655449669776335
20,25,0.02,0.06058347323414239
20,25,0.05,0.020384817684037722
20,25,0.08,0.02453650025899281
20,25,0.11,0.03851163438553054
20,25,0.14,0.04503015022214543
20,25,0.17,0.04713537154382985
20,25,0.2,0.0564006942463509
20,25,0.25,0.05041436887629477
20,25,0.3,0.07308036851526464
20,25,0.35,0.07844293249880907
20,25,0.4,0.07492319523512293
20,25,0.45,0.07667705679352839
20,25,0.5,0.08363090145493748
20,25,0.55,0.09046252572481438
20,25,0.6,0.09128129771995294
20,25,0.65,0.09290262379727893
20,25,0.7,0.07297680940148561
20,25,0.75,0.08538223741584296
20,25,0.8,0.07832154327396428
20,25,0.85,0.08296171614292377
20,25,0.9,0.09223719671520855
20,25,0.95,0.09420255893215808
20,25,1.0,0.10487142543617813
20,50,0.01,0.10594193088860165
20,50,0.02,0.05673822843994769
20,50,0.05,0.027707274178812094
20,50,0.08,0.030947301964513858
20,50,0.11,0.028803644251466094
20,50,0.14,0.05194789547505968
20,50,0.17,0.04059230955302309
20,50,0.2,0.0559349526653533
20,50,0.25,0.049120499510591414
20,50,0.3,0.051583394416272375
20,50,0.35,0.04536370153509733
20,50,0.4,0.058523717286686636
20,50,0.45,0.04478350752386836
20,50,0.5,0.06592801850658829
20,50,0.55,0.04208919704917219
20,50,0.6,0.054982985411825634
20,50,0.65,0.05851788278933462
20,50,0.7,0.09153498208290449
20,50,0.75,0.0803071143163364
20,50,0.8,0.04042781012981973
20,50,0.85,0.05595371152039701
20,50,0.9,0.08145203717248478
20,50,0.95,0.05702786654694506
20,50,1.0,0.04132238718345881
20,100,0.01,0.10390320153495253
20,100,0.02,0.05626791434988549
20,100,0.05,0.0331169056290183
20,100,0.08,0.03000024858899628
20,100,0.11,0.02025721226962049
20,100,0.14,0.03071282072209088
20,100,0.17,0.020801626150074488
20,100,0.2,0.02196801471401614
20,100,0.25,0.028621978454564993
20,100,0.3,0.018293072835044666
20,100,0.35,0.04125453741517832
20,100,0.4,0.06605900390578866
20,100,0.45,0.03799698776943543
20,100,0.5,0.10206928435468907
20,100,0.55,0.06909847057583061
20,100,0.6,0.04420747800297348
20,100,0.65,0.04232307454402262
20,100,0.7,0.04259799723594069
20,100,0.75,0.049488580173787905
20,100,0.8,0.032548651292695234
20,100,0.85,0.05210739897886022
20,100,0.9,0.028685183001184923
20,100,0.95,0.020700614187453184
20,100,1.0,0.04668707036945601
20,250,0.01,0.1030891216706303
20,250,0.02,0.05929227802486711
20,250,0.05,0.022357753447158873
20,250,0.08,0.013764119261781338
20,250,0.11,0.031662378447173886
20,250,0.14,0.052483256815896294
20,250,0.17,0.03935451839879403
20,250,0.2,0.022439387597506813
20,250,0.25,0.033202133215654954
20,250,0.3,0.032084110482448774
20,250,0.35,0.04822571067444591
20,250,0.4,0.03773731606648671
20,250,0.45,0.08191502612272308
20,250,0.5,0.03885950151629519
20,250,0.55,0.04768239484915331
20,250,0.6,0.011530952066945096
20,250,0.65,0.03075351023083513
20,250,0.7,0.03330309462418342
20,250,0.75,0.04016100243705844
20,250,0.8,0.03030822595220562
20,250,0.85,0.02645513993510496
20,250,0.9,0.03962651183793751
20,250,0.95,0.052256432448266874
20,250,1.0,0.04319575228969877
