number of states,n of steps,alpha,n_episodes,sigma,RMSE
19,3,0.4,1,0,0.26146412151977094
19,3,0.4,2,0,0.24981680612215734
19,3,0.4,3,0,0.2390906867589877
19,3,0.4,4,0,0.22761925477225656
19,3,0.4,5,0,0.21685527249237416
19,3,0.4,6,0,0.20686843198896843
19,3,0.4,7,0,0.19649517876314274
19,3,0.4,8,0,0.18824579841869618
19,3,0.4,9,0,0.17907480781704424
19,3,0.4,10,0,0.1698409629510871
19,3,0.4,11,0,0.16243913220685344
19,3,0.4,12,0,0.15465329387422824
19,3,0.4,13,0,0.14614769358593693
19,3,0.4,14,0,0.1396778733660528
19,3,0.4,15,0,0.13242033689012978
19,3,0.4,16,0,0.1265142169832398
19,3,0.4,17,0,0.11993426190844429
19,3,0.4,18,0,0.1144936525734452
19,3,0.4,19,0,0.10935062272118681
19,3,0.4,20,0,0.10407042381203047
19,3,0.4,21,0,0.09948879910764646
19,3,0.4,22,0,0.09445095705187478
19,3,0.4,23,0,0.0900569221140839
19,3,0.4,24,0,0.08531724694614763
19,3,0.4,25,0,0.08123216236350371
19,3,0.4,26,0,0.07713060262914159
19,3,0.4,27,0,0.073520556647896
19,3,0.4,28,0,0.07016772056010927
19,3,0.4,29,0,0.06622688032296956
19,3,0.4,30,0,0.06358562659886138
19,3,0.4,31,0,0.06086079840110563
19,3,0.4,32,0,0.05848125334623812
19,3,0.4,33,0,0.055701188577774646
19,3,0.4,34,0,0.0529095621411239
19,3,0.4,35,0,0.050514756787439836
19,3,0.4,36,0,0.048285167172911765
19,3,0.4,37,0,0.045818867790450704
19,3,0.4,38,0,0.04376005968308863
19,3,0.4,39,0,0.041963061158643906
19,3,0.4,40,0,0.040287079678867424
19,3,0.4,41,0,0.03884044723623235
19,3,0.4,42,0,0.0371369962958984
19,3,0.4,43,0,0.035452171118993576
19,3,0.4,44,0,0.033918139002273834
19,3,0.4,45,0,0.03253896711220621
19,3,0.4,46,0,0.031297530744548316
19,3,0.4,47,0,0.030164244672953106
19,3,0.4,48,0,0.028852821212118657
19,3,0.4,49,0,0.02791279655830912
19,3,0.4,50,0,0.026784505652020882
19,3,0.4,51,0,0.025673161113216922
19,3,0.4,52,0,0.024664719217190954
19,3,0.4,53,0,0.023669930341273685
19,3,0.4,54,0,0.02255397764269699
19,3,0.4,55,0,0.021713396544006103
19,3,0.4,56,0,0.020917434620529408
19,3,0.4,57,0,0.020167255032801278
19,3,0.4,58,0,0.019390624005921578
19,3,0.4,59,0,0.018761696397843048
19,3,0.4,60,0,0.018047714102420686
19,3,0.4,61,0,0.017290446766123225
19,3,0.4,62,0,0.016698031949506257
19,3,0.4,63,0,0.016054484141798057
19,3,0.4,64,0,0.01549415890470234
19,3,0.4,65,0,0.01489461322310953
19,3,0.4,66,0,0.01432160009936015
19,3,0.4,67,0,0.013879991532155033
19,3,0.4,68,0,0.013430448031456193
19,3,0.4,69,0,0.012919008598503772
19,3,0.4,70,0,0.012528156411564408
19,3,0.4,71,0,0.012154762547490636
19,3,0.4,72,0,0.011771484705432832
19,3,0.4,73,0,0.011360407629785881
19,3,0.4,74,0,0.010967335954956303
19,3,0.4,75,0,0.010606420403560048
19,3,0.4,76,0,0.010250698744493237
19,3,0.4,77,0,0.009927860625632447
19,3,0.4,78,0,0.009642931428757683
19,3,0.4,79,0,0.009342884019781889
19,3,0.4,80,0,0.009053491507913498
19,3,0.4,81,0,0.00879710696672858
19,3,0.4,82,0,0.00853023844260038
19,3,0.4,83,0,0.008308888398043729
19,3,0.4,84,0,0.008090707568418338
19,3,0.4,85,0,0.007865853072723597
19,3,0.4,86,0,0.007685460747156537
19,3,0.4,87,0,0.007511647914021854
19,3,0.4,88,0,0.007354299147230248
19,3,0.4,89,0,0.007187942281806366
19,3,0.4,90,0,0.006937989194509358
19,3,0.4,91,0,0.0067324153846785775
19,3,0.4,92,0,0.006571247653427349
19,3,0.4,93,0,0.006371503330548101
19,3,0.4,94,0,0.0062060031900274286
19,3,0.4,95,0,0.006046175948597179
19,3,0.4,96,0,0.005903092859954145
19,3,0.4,97,0,0.00574747865330702
19,3,0.4,98,0,0.005610217315727507
19,3,0.4,99,0,0.005448615977156294
19,3,0.4,100,0,0.005304283054530727
19,3,0.4,1,0.25,0.25979875335969255
19,3,0.4,2,0.25,0.24582285261608647
19,3,0.4,3,0.25,0.23295559281306158
19,3,0.4,4,0.25,0.2204288972234509
19,3,0.4,5,0.25,0.2094641016958369
19,3,0.4,6,0.25,0.19866004055957906
19,3,0.4,7,0.25,0.1881610934822929
19,3,0.4,8,0.25,0.1780573718019729
19,3,0.4,9,0.25,0.1689415901164485
19,3,0.4,10,0.25,0.15961211935951017
19,3,0.4,11,0.25,0.15115347618804398
19,3,0.4,12,0.25,0.14236694073223746
19,3,0.4,13,0.25,0.13388846774557725
19,3,0.4,14,0.25,0.12623544066650413
19,3,0.4,15,0.25,0.11797027899869268
19,3,0.4,16,0.25,0.11093013310762512
19,3,0.4,17,0.25,0.10436620154676968
19,3,0.4,18,0.25,0.09863164910125923
19,3,0.4,19,0.25,0.09332999838735312
19,3,0.4,20,0.25,0.08710778782470255
19,3,0.4,21,0.25,0.08083651720280269
19,3,0.4,22,0.25,0.0763190460205334
19,3,0.4,23,0.25,0.0721518671763683
19,3,0.4,24,0.25,0.06809350889159381
19,3,0.4,25,0.25,0.06460167754501361
19,3,0.4,26,0.25,0.060828731779420435
19,3,0.4,27,0.25,0.05726234569686093
19,3,0.4,28,0.25,0.05347043618134102
19,3,0.4,29,0.25,0.05044486170522739
19,3,0.4,30,0.25,0.04757265139043586
19,3,0.4,31,0.25,0.04531737460329184
19,3,0.4,32,0.25,0.04285928196800747
19,3,0.4,33,0.25,0.040477795987674405
19,3,0.4,34,0.25,0.03827668659155452
19,3,0.4,35,0.25,0.03641980083252453
19,3,0.4,36,0.25,0.03464612352919288
19,3,0.4,37,0.25,0.03275233052274844
19,3,0.4,38,0.25,0.031208077683470635
19,3,0.4,39,0.25,0.029629276253456384
19,3,0.4,40,0.25,0.028413751003000157
19,3,0.4,41,0.25,0.02710632482588784
19,3,0.4,42,0.25,0.02614955771383322
19,3,0.4,43,0.25,0.0251433929444628
19,3,0.4,44,0.25,0.02400588707918592
19,3,0.4,45,0.25,0.022919890714707597
19,3,0.4,46,0.25,0.022097332089954187
19,3,0.4,47,0.25,0.0210951134452949
19,3,0.4,48,0.25,0.02053746503870056
19,3,0.4,49,0.25,0.020098134002346627
19,3,0.4,50,0.25,0.019961910011606455
19,3,0.4,51,0.25,0.018997905399706062
19,3,0.4,52,0.25,0.018308711674534503
19,3,0.4,53,0.25,0.018192166574058727
19,3,0.4,54,0.25,0.017736781901104295
19,3,0.4,55,0.25,0.01749393623553059
19,3,0.4,56,0.25,0.016720827194983447
19,3,0.4,57,0.25,0.01636143511708304
19,3,0.4,58,0.25,0.016249427842315135
19,3,0.4,59,0.25,0.01607657226947487
19,3,0.4,60,0.25,0.016014467928629348
19,3,0.4,61,0.25,0.015579706488201174
19,3,0.4,62,0.25,0.015503449755255812
19,3,0.4,63,0.25,0.01551131295046315
19,3,0.4,64,0.25,0.015772861478547996
19,3,0.4,65,0.25,0.01555681634047709
19,3,0.4,66,0.25,0.015391758550910996
19,3,0.4,67,0.25,0.015194509466949568
19,3,0.4,68,0.25,0.015040883026437498
19,3,0.4,69,0.25,0.015140360176892098
19,3,0.4,70,0.25,0.015267352190252468
19,3,0.4,71,0.25,0.015672966564878536
19,3,0.4,72,0.25,0.015843454880330902
19,3,0.4,73,0.25,0.015860745077446017
19,3,0.4,74,0.25,0.01595874817834921
19,3,0.4,75,0.25,0.01611203410617157
19,3,0.4,76,0.25,0.01642135686195975
19,3,0.4,77,0.25,0.016490370906070643
19,3,0.4,78,0.25,0.016408173296141627
19,3,0.4,79,0.25,0.0163097298705028
19,3,0.4,80,0.25,0.015760741828974297
19,3,0.4,81,0.25,0.015894491692382405
19,3,0.4,82,0.25,0.015597745309723186
19,3,0.4,83,0.25,0.015078382301257982
19,3,0.4,84,0.25,0.014906981113208049
19,3,0.4,85,0.25,0.014808473524078743
19,3,0.4,86,0.25,0.014868616033299063
19,3,0.4,87,0.25,0.014859780876385526
19,3,0.4,88,0.25,0.015088124317057288
19,3,0.4,89,0.25,0.015212140096276045
19,3,0.4,90,0.25,0.014805342084978992
19,3,0.4,91,0.25,0.015109710659297514
19,3,0.4,92,0.25,0.015091556270004455
19,3,0.4,93,0.25,0.015008383383460713
19,3,0.4,94,0.25,0.015215550186380442
19,3,0.4,95,0.25,0.01518198651684794
19,3,0.4,96,0.25,0.015080443508988052
19,3,0.4,97,0.25,0.015028853268712285
19,3,0.4,98,0.25,0.015129811470880512
19,3,0.4,99,0.25,0.014985894907475992
19,3,0.4,100,0.25,0.015099984648194238
19,3,0.4,1,0.5,0.2578120015944142
19,3,0.4,2,0.5,0.24285478234742025
19,3,0.4,3,0.5,0.2276698873909367
19,3,0.4,4,0.5,0.21371717099968165
19,3,0.4,5,0.5,0.20066057969833723
19,3,0.4,6,0.5,0.18847780215722498
19,3,0.4,7,0.5,0.17665734335303804
19,3,0.4,8,0.5,0.16611691039838475
19,3,0.4,9,0.5,0.154808578299078
19,3,0.4,10,0.5,0.14478173081584392
19,3,0.4,11,0.5,0.13491797817423073
19,3,0.4,12,0.5,0.12557122459374676
19,3,0.4,13,0.5,0.11732449657565475
19,3,0.4,14,0.5,0.10904551945311282
19,3,0.4,15,0.5,0.10105594746691017
19,3,0.4,16,0.5,0.09383846204995765
19,3,0.4,17,0.5,0.08781950609018692
19,3,0.4,18,0.5,0.0811718762514363
19,3,0.4,19,0.5,0.0758144320304626
19,3,0.4,20,0.5,0.07048005051622544
19,3,0.4,21,0.5,0.06624849559782119
19,3,0.4,22,0.5,0.062092039921790396
19,3,0.4,23,0.5,0.05767159447795469
19,3,0.4,24,0.5,0.0536852577652984
19,3,0.4,25,0.5,0.05113744439421855
19,3,0.4,26,0.5,0.0482123125768986
19,3,0.4,27,0.5,0.045391634426589576
19,3,0.4,28,0.5,0.04347271250073142
19,3,0.4,29,0.5,0.04149927129052961
19,3,0.4,30,0.5,0.03928533355736558
19,3,0.4,31,0.5,0.037495634528693866
19,3,0.4,32,0.5,0.036220872089538864
19,3,0.4,33,0.5,0.03518909808041049
19,3,0.4,34,0.5,0.0341717171672857
19,3,0.4,35,0.5,0.033839623681503214
19,3,0.4,36,0.5,0.03270573901167129
19,3,0.4,37,0.5,0.03219771168103782
19,3,0.4,38,0.5,0.03181252665699488
19,3,0.4,39,0.5,0.03179157525783372
19,3,0.4,40,0.5,0.031767354859611734
19,3,0.4,41,0.5,0.0319098428244116
19,3,0.4,42,0.5,0.031808647046904996
19,3,0.4,43,0.5,0.03189630987012683
19,3,0.4,44,0.5,0.0304659492096915
19,3,0.4,45,0.5,0.02999077330402949
19,3,0.4,46,0.5,0.03061028597078291
19,3,0.4,47,0.5,0.030373178092676697
19,3,0.4,48,0.5,0.030787101471219956
19,3,0.4,49,0.5,0.03086542862252187
19,3,0.4,50,0.5,0.03059324782457235
19,3,0.4,51,0.5,0.03142196938890128
19,3,0.4,52,0.5,0.030737903135182095
19,3,0.4,53,0.5,0.030367396671312986
19,3,0.4,54,0.5,0.029897687576913006
19,3,0.4,55,0.5,0.030251908921353744
19,3,0.4,56,0.5,0.03007552188250644
19,3,0.4,57,0.5,0.02970374345274788
19,3,0.4,58,0.5,0.030277076425693213
19,3,0.4,59,0.5,0.030664715275269826
19,3,0.4,60,0.5,0.03131120535669704
19,3,0.4,61,0.5,0.03162330892776519
19,3,0.4,62,0.5,0.03096692053506705
19,3,0.4,63,0.5,0.031053333310355494
19,3,0.4,64,0.5,0.031031671135890306
19,3,0.4,65,0.5,0.030573791186142583
19,3,0.4,66,0.5,0.02815300708749382
19,3,0.4,67,0.5,0.02824682241182185
19,3,0.4,68,0.5,0.028535562054063844
19,3,0.4,69,0.5,0.029080649247743177
19,3,0.4,70,0.5,0.02946648432096607
19,3,0.4,71,0.5,0.030352406478123647
19,3,0.4,72,0.5,0.030351203963758053
19,3,0.4,73,0.5,0.030550731452442453
19,3,0.4,74,0.5,0.030577249940738925
19,3,0.4,75,0.5,0.03092758933838445
19,3,0.4,76,0.5,0.03041036417507262
19,3,0.4,77,0.5,0.02963927335092837
19,3,0.4,78,0.5,0.02959808110049081
19,3,0.4,79,0.5,0.029852745854858323
19,3,0.4,80,0.5,0.029279094936667516
19,3,0.4,81,0.5,0.029732069312095627
19,3,0.4,82,0.5,0.02926680624712192
19,3,0.4,83,0.5,0.02922455033324244
19,3,0.4,84,0.5,0.028884367187666675
19,3,0.4,85,0.5,0.02927576860413534
19,3,0.4,86,0.5,0.028985581754616706
19,3,0.4,87,0.5,0.028913460059352736
19,3,0.4,88,0.5,0.029349410920286242
19,3,0.4,89,0.5,0.028829646491542637
19,3,0.4,90,0.5,0.02869832209276418
19,3,0.4,91,0.5,0.02882014988762577
19,3,0.4,92,0.5,0.029507430634220174
19,3,0.4,93,0.5,0.029390532702347257
19,3,0.4,94,0.5,0.02945062950657342
19,3,0.4,95,0.5,0.02996392729279773
19,3,0.4,96,0.5,0.030451260702321403
19,3,0.4,97,0.5,0.030676892543799027
19,3,0.4,98,0.5,0.030898245784217297
19,3,0.4,99,0.5,0.03173315258363495
19,3,0.4,100,0.5,0.03190385967561014
19,3,0.4,1,0.75,0.2554922670511753
19,3,0.4,2,0.75,0.23838534140061277
19,3,0.4,3,0.75,0.2214922170488
19,3,0.4,4,0.75,0.20615421096011396
19,3,0.4,5,0.75,0.19101504064320665
19,3,0.4,6,0.75,0.17711094091690904
19,3,0.4,7,0.75,0.16413901050521332
19,3,0.4,8,0.75,0.15285826469921684
19,3,0.4,9,0.75,0.14164211283708514
19,3,0.4,10,0.75,0.1308560196010794
19,3,0.4,11,0.75,0.12073753582735204
19,3,0.4,12,0.75,0.11168435175628608
19,3,0.4,13,0.75,0.1025138646228444
19,3,0.4,14,0.75,0.09473579306112931
19,3,0.4,15,0.75,0.08801052260657811
19,3,0.4,16,0.75,0.08276935765684762
19,3,0.4,17,0.75,0.0775252869823869
19,3,0.4,18,0.75,0.07248154890095833
19,3,0.4,19,0.75,0.06792736373074887
19,3,0.4,20,0.75,0.06354633620172373
19,3,0.4,21,0.75,0.06029354108032917
19,3,0.4,22,0.75,0.057497318775301905
19,3,0.4,23,0.75,0.05560181031694603
19,3,0.4,24,0.75,0.05388360691267509
19,3,0.4,25,0.75,0.05332089441896812
19,3,0.4,26,0.75,0.05143598433603186
19,3,0.4,27,0.75,0.04980351593558659
19,3,0.4,28,0.75,0.04824096229194927
19,3,0.4,29,0.75,0.046127833989726225
19,3,0.4,30,0.75,0.045223880664634654
19,3,0.4,31,0.75,0.045594153900017316
19,3,0.4,32,0.75,0.04432629680924509
19,3,0.4,33,0.75,0.04544148129661733
19,3,0.4,34,0.75,0.047325861178466114
19,3,0.4,35,0.75,0.047445129282089
19,3,0.4,36,0.75,0.04724285147004977
19,3,0.4,37,0.75,0.047818003312372674
19,3,0.4,38,0.75,0.04902829513288318
19,3,0.4,39,0.75,0.049643449562060515
19,3,0.4,40,0.75,0.05010900833401544
19,3,0.4,41,0.75,0.0495232407635767
19,3,0.4,42,0.75,0.051550028838177886
19,3,0.4,43,0.75,0.052458915326921485
19,3,0.4,44,0.75,0.051402927648566486
19,3,0.4,45,0.75,0.05173082848895496
19,3,0.4,46,0.75,0.05204092573556002
19,3,0.4,47,0.75,0.05282266345040001
19,3,0.4,48,0.75,0.052990404793598574
19,3,0.4,49,0.75,0.052896765049128686
19,3,0.4,50,0.75,0.053555361858209805
19,3,0.4,51,0.75,0.05225667557975878
19,3,0.4,52,0.75,0.051889954506428554
19,3,0.4,53,0.75,0.05273681103200452
19,3,0.4,54,0.75,0.05290833375646555
19,3,0.4,55,0.75,0.05312646423167188
19,3,0.4,56,0.75,0.05301506014743716
19,3,0.4,57,0.75,0.05307451975599929
19,3,0.4,58,0.75,0.053967158218467405
19,3,0.4,59,0.75,0.05197840042717314
19,3,0.4,60,0.75,0.05144943447172088
19,3,0.4,61,0.75,0.05249563469488122
19,3,0.4,62,0.75,0.05308836084131812
19,3,0.4,63,0.75,0.052617197829855834
19,3,0.4,64,0.75,0.052125542537356816
19,3,0.4,65,0.75,0.052398016916065326
19,3,0.4,66,0.75,0.05246532450487619
19,3,0.4,67,0.75,0.052669556573802206
19,3,0.4,68,0.75,0.05409326806555704
19,3,0.4,69,0.75,0.053792523694256626
19,3,0.4,70,0.75,0.05293654663743616
19,3,0.4,71,0.75,0.055210505244529307
19,3,0.4,72,0.75,0.054436281669363415
19,3,0.4,73,0.75,0.0546712227631356
19,3,0.4,74,0.75,0.05469086495150258
19,3,0.4,75,0.75,0.05372838542675398
19,3,0.4,76,0.75,0.05345626635296331
19,3,0.4,77,0.75,0.052443347954658444
19,3,0.4,78,0.75,0.05352289186339308
19,3,0.4,79,0.75,0.05545374844974738
19,3,0.4,80,0.75,0.05363140771043695
19,3,0.4,81,0.75,0.053526166651803125
19,3,0.4,82,0.75,0.05181721776281315
19,3,0.4,83,0.75,0.05184391020143662
19,3,0.4,84,0.75,0.050081660444393356
19,3,0.4,85,0.75,0.050903086008108014
19,3,0.4,86,0.75,0.05055603873584565
19,3,0.4,87,0.75,0.05057523084702172
19,3,0.4,88,0.75,0.05114875677496988
19,3,0.4,89,0.75,0.04995496839205141
19,3,0.4,90,0.75,0.050001858884517573
19,3,0.4,91,0.75,0.0501096073426348
19,3,0.4,92,0.75,0.05042185779548994
19,3,0.4,93,0.75,0.050533551870144224
19,3,0.4,94,0.75,0.0500265607882739
19,3,0.4,95,0.75,0.050689013809300104
19,3,0.4,96,0.75,0.05255655580892933
19,3,0.4,97,0.75,0.05242502842323199
19,3,0.4,98,0.75,0.0531541172539779
19,3,0.4,99,0.75,0.05280683719355145
19,3,0.4,100,0.75,0.052275442316507076
19,3,0.4,1,1,0.2528781691270577
19,3,0.4,2,1,0.23299167591634234
19,3,0.4,3,1,0.21433586640649843
19,3,0.4,4,1,0.19598846554985663
19,3,0.4,5,1,0.17939561417545527
19,3,0.4,6,1,0.1640368191791191
19,3,0.4,7,1,0.1498658621562925
19,3,0.4,8,1,0.13783388652032114
19,3,0.4,9,1,0.12542936838114122
19,3,0.4,10,1,0.11473798393543927
19,3,0.4,11,1,0.10572535626568946
19,3,0.4,12,1,0.0971180677558285
19,3,0.4,13,1,0.08985891778721902
19,3,0.4,14,1,0.08532143609747528
19,3,0.4,15,1,0.08032536231550083
19,3,0.4,16,1,0.07783532549603228
19,3,0.4,17,1,0.07406441874952695
19,3,0.4,18,1,0.07158812010628286
19,3,0.4,19,1,0.06926894052553602
19,3,0.4,20,1,0.06726996235918359
19,3,0.4,21,1,0.06468473280091126
19,3,0.4,22,1,0.062197240628891155
19,3,0.4,23,1,0.06153853892328115
19,3,0.4,24,1,0.061971612083051734
19,3,0.4,25,1,0.06125295819476824
19,3,0.4,26,1,0.06211091849933844
19,3,0.4,27,1,0.06510805361029441
19,3,0.4,28,1,0.06654287807611435
19,3,0.4,29,1,0.06651578586311456
19,3,0.4,30,1,0.06731950748691727
19,3,0.4,31,1,0.06877627370629792
19,3,0.4,32,1,0.06856395956268213
19,3,0.4,33,1,0.07113603836790772
19,3,0.4,34,1,0.07070320196621015
19,3,0.4,35,1,0.07018661924816823
19,3,0.4,36,1,0.07077457647280677
19,3,0.4,37,1,0.07131403589969917
19,3,0.4,38,1,0.07149346225487548
19,3,0.4,39,1,0.07180822928707332
19,3,0.4,40,1,0.07046068527152617
19,3,0.4,41,1,0.07296254351878412
19,3,0.4,42,1,0.07027813638153307
19,3,0.4,43,1,0.07200998757785891
19,3,0.4,44,1,0.07123350073155522
19,3,0.4,45,1,0.07301733364508423
19,3,0.4,46,1,0.07319644100704016
19,3,0.4,47,1,0.07353430678743508
19,3,0.4,48,1,0.07208586131178228
19,3,0.4,49,1,0.07211170880276527
19,3,0.4,50,1,0.07345986561742654
19,3,0.4,51,1,0.07246293381827704
19,3,0.4,52,1,0.06922506008525464
19,3,0.4,53,1,0.07115334773746923
19,3,0.4,54,1,0.07010912490907778
19,3,0.4,55,1,0.07078106858386025
19,3,0.4,56,1,0.0704186588791073
19,3,0.4,57,1,0.07105616863368626
19,3,0.4,58,1,0.0689291572634233
19,3,0.4,59,1,0.07166509137417834
19,3,0.4,60,1,0.07030348924698605
19,3,0.4,61,1,0.07032351048065029
19,3,0.4,62,1,0.071634304605054
19,3,0.4,63,1,0.07393503327498363
19,3,0.4,64,1,0.0746062491192625
19,3,0.4,65,1,0.07366718716725615
19,3,0.4,66,1,0.07213386837154227
19,3,0.4,67,1,0.07267246646200268
19,3,0.4,68,1,0.07404857344706871
19,3,0.4,69,1,0.07433677701126501
19,3,0.4,70,1,0.07366265416199169
19,3,0.4,71,1,0.07527747701334069
19,3,0.4,72,1,0.07359411613143296
19,3,0.4,73,1,0.07342139091695798
19,3,0.4,74,1,0.07547512135541944
19,3,0.4,75,1,0.07338314085885655
19,3,0.4,76,1,0.07061974259554468
19,3,0.4,77,1,0.07225576304119738
19,3,0.4,78,1,0.07265769670823376
19,3,0.4,79,1,0.07200632770606984
19,3,0.4,80,1,0.07053390170916013
19,3,0.4,81,1,0.07078370883240295
19,3,0.4,82,1,0.07109172818575621
19,3,0.4,83,1,0.07044698638303735
19,3,0.4,84,1,0.07033775804597027
19,3,0.4,85,1,0.06896565739460099
19,3,0.4,86,1,0.07087134885694957
19,3,0.4,87,1,0.07285030250699151
19,3,0.4,88,1,0.07489178282071708
19,3,0.4,89,1,0.07423083536398382
19,3,0.4,90,1,0.07442942972169163
19,3,0.4,91,1,0.07417801942692069
19,3,0.4,92,1,0.07489434666997861
19,3,0.4,93,1,0.07639142199639759
19,3,0.4,94,1,0.07659948077366065
19,3,0.4,95,1,0.0780758279884344
19,3,0.4,96,1,0.07649943416738979
19,3,0.4,97,1,0.07709758127261286
19,3,0.4,98,1,0.07671298760959144
19,3,0.4,99,1,0.07557798105277348
19,3,0.4,100,1,0.07682907472214649
