"('greedy_selection', 'moment_updating')","('q_value_sampling', 'moment_updating')"
-87.0,-87.0
-94.0,-66.0
-80.0,-80.0
-80.0,-73.66666666666667
-73.0,-80.0
-51.666666666666664,-73.0
-66.0,-73.0
-66.0,-73.0
-66.0,-52.666666666666664
-66.0,-59.0
-66.0,-50.333333333333336
-66.0,-59.0
-66.0,-66.0
-66.0,-66.0
-66.0,-45.0
-59.0,-80.0
-52.0,-45.0
-34.666666666666664,-66.0
-34.333333333333336,-38.0
-59.0,-66.0
-59.0,-59.0
-52.0,-35.333333333333336
-44.666666666666664,-40.666666666666664
-52.0,-52.0
-52.0,-45.0
-52.0,-44.333333333333336
-52.0,-38.0
-52.0,-41.0
-66.0,-30.333333333333332
-52.0,-52.0
-59.0,-42.666666666666664
-59.0,-36.666666666666664
-59.0,-45.0
-59.0,-38.333333333333336
-62.666666666666664,-42.333333333333336
-66.0,-43.0
-66.0,-38.0
-66.0,-41.666666666666664
-59.0,-38.333333333333336
-52.0,-66.0
-59.0,-52.0
-52.0,-66.0
-45.0,-29.666666666666668
-45.0,-45.0
-52.0,-29.333333333333332
-45.0,-38.0
-52.0,-31.333333333333332
-45.0,-45.0
-52.0,-45.0
-45.0,-40.0
-52.0,-38.0
-45.0,-35.0
-45.0,-26.666666666666668
-52.0,-47.333333333333336
-45.0,-45.0
-52.0,-29.666666666666668
-45.0,-38.666666666666664
-45.0,-48.0
-52.0,-52.0
-45.0,-43.666666666666664
-52.0,-41.666666666666664
-45.0,-26.666666666666668
-45.0,-33.333333333333336
-52.0,-45.0
-52.0,-45.666666666666664
-52.0,-38.0
-59.0,-27.333333333333332
-52.0,-45.0
-52.0,-34.333333333333336
-59.0,-37.666666666666664
-52.0,-31.666666666666668
-52.0,-28.0
-52.0,-24.666666666666668
-59.0,-34.0
-52.0,-29.0
-52.0,-26.333333333333332
-59.0,-29.333333333333332
-52.0,-31.666666666666668
-52.0,-27.666666666666668
-59.0,-26.333333333333332
-52.0,-45.0
-59.0,-45.0
-52.0,-23.0
-52.0,-35.333333333333336
-52.0,-30.666666666666668
-59.0,-45.0
-52.0,-24.0
-52.0,-25.333333333333332
-52.0,-34.0
-52.0,-22.333333333333332
-45.0,-23.0
-66.0,-26.666666666666668
-40.333333333333336,-20.0
-52.0,-27.333333333333332
-59.0,-38.0
-59.0,-20.333333333333332
-59.0,-32.666666666666664
-59.0,-39.333333333333336
-59.0,-32.333333333333336
-59.0,-32.333333333333336
-66.0,-28.333333333333332
-59.0,-29.0
-59.0,-27.333333333333332
-66.0,-38.666666666666664
-59.0,-24.333333333333332
-59.0,-24.333333333333332
-59.0,-29.666666666666668
-66.0,-38.0
-66.0,-24.333333333333332
-52.0,-31.666666666666668
-52.0,-26.0
-52.0,-15.666666666666666
-66.0,-35.333333333333336
-52.0,-30.666666666666668
-52.0,-34.666666666666664
-66.0,-22.0
-52.0,-14.333333333333334
-59.0,-23.333333333333332
-66.0,-25.666666666666668
-59.0,-12.333333333333334
-59.0,-15.333333333333334
-66.0,-18.666666666666668
-59.0,-12.0
-59.0,-9.333333333333334
-66.0,-17.333333333333332
-59.0,-22.666666666666668
-59.0,-22.333333333333332
-66.0,-13.0
-59.0,-12.333333333333334
-59.0,-16.0
-59.0,-5.0
-66.0,-2.3333333333333335
-59.0,-15.666666666666666
-59.0,4.666666666666667
-66.0,-19.333333333333332
-59.0,-17.333333333333332
-59.0,-12.666666666666666
-59.0,-22.333333333333332
-66.0,-24.666666666666668
-59.0,-7.666666666666667
-59.0,-2.0
-59.0,-13.333333333333334
-66.0,-36.0
-59.0,-10.0
-59.0,5.0
-59.0,-9.666666666666666
-59.0,-1.0
-66.0,-29.0
-59.0,-5.666666666666667
-59.0,-20.0
-59.0,-2.3333333333333335
-59.0,-10.333333333333334
-66.0,-5.0
-59.0,4.666666666666667
-59.0,-2.3333333333333335
-59.0,-24.666666666666668
-59.0,6.333333333333333
-66.0,17.0
-59.0,4.666666666666667
-59.0,1.0
-59.0,2.3333333333333335
-59.0,1.0
-59.0,-19.333333333333332
-59.0,-12.333333333333334
-66.0,-14.333333333333334
-59.0,1.3333333333333333
-59.0,-4.0
-59.0,10.333333333333334
-59.0,3.3333333333333335
-59.0,-13.0
-59.0,5.333333333333333
-66.0,2.6666666666666665
-59.0,-2.3333333333333335
-59.0,9.0
-59.0,-1.6666666666666667
-59.0,1.3333333333333333
-59.0,-31.0
-59.0,3.6666666666666665
-59.0,-11.333333333333334
-59.0,6.0
-66.0,12.333333333333334
-59.0,2.6666666666666665
-59.0,10.333333333333334
-59.0,-8.333333333333334
-59.0,8.333333333333334
-59.0,10.0
-59.0,-1.3333333333333333
-59.0,9.333333333333334
-59.0,-9.666666666666666
-66.0,-5.666666666666667
-59.0,16.0
-59.0,-11.0
-59.0,-1.0
-59.0,8.0
-59.0,2.6666666666666665
-59.0,-6.0
-59.0,13.666666666666666
-59.0,21.666666666666668
-59.0,-7.666666666666667
-59.0,14.0
-59.0,12.0
-66.0,11.666666666666666
-59.0,12.0
-59.0,-0.3333333333333333
-59.0,19.0
-59.0,13.666666666666666
-59.0,13.666666666666666
-59.0,-6.0
-59.0,4.666666666666667
-59.0,19.0
-59.0,14.0
-59.0,2.3333333333333335
-59.0,18.666666666666668
-59.0,8.333333333333334
-59.0,5.666666666666667
-59.0,8.666666666666666
-59.0,12.333333333333334
-66.0,17.333333333333332
-59.0,9.0
-59.0,1.3333333333333333
-59.0,13.333333333333334
-59.0,13.0
-59.0,16.333333333333332
-59.0,14.666666666666666
-59.0,10.666666666666666
-59.0,-3.3333333333333335
-59.0,14.666666666666666
-59.0,12.666666666666666
-59.0,12.666666666666666
-59.0,-16.0
-59.0,14.0
-59.0,17.666666666666668
-59.0,0.0
-59.0,18.333333333333332
-66.0,11.666666666666666
-59.0,15.0
-59.0,12.333333333333334
-59.0,4.666666666666667
-59.0,16.333333333333332
-59.0,9.0
-59.0,12.666666666666666
-59.0,11.666666666666666
-59.0,16.0
-59.0,19.333333333333332
-59.0,18.666666666666668
-59.0,8.333333333333334
-59.0,18.666666666666668
-59.0,18.666666666666668
-59.0,4.333333333333333
-59.0,1.0
-59.0,16.0
-59.0,16.666666666666668
-59.0,15.333333333333334
-59.0,9.666666666666666
-59.0,7.333333333333333
-59.0,15.333333333333334
-59.0,7.0
-59.0,16.0
-59.0,-16.666666666666668
-59.0,12.333333333333334
-59.0,12.666666666666666
-59.0,11.666666666666666
-59.0,11.0
-59.0,21.0
-59.0,14.0
-59.0,17.666666666666668
-59.0,15.333333333333334
-59.0,14.0
-59.0,3.3333333333333335
-59.0,10.333333333333334
-59.0,-11.0
-59.0,5.0
-59.0,15.666666666666666
-59.0,15.666666666666666
-59.0,16.0
-59.0,8.333333333333334
-59.0,17.333333333333332
-59.0,-4.333333333333333
-59.0,19.0
-59.0,7.0
-59.0,18.666666666666668
-59.0,14.333333333333334
-59.0,5.666666666666667
-59.0,12.333333333333334
-59.0,16.666666666666668
-59.0,5.333333333333333
-59.0,0.6666666666666666
-59.0,13.333333333333334
-59.0,16.666666666666668
-59.0,14.333333333333334
-59.0,18.666666666666668
-59.0,11.666666666666666
-59.0,11.333333333333334
-59.0,1.6666666666666667
-59.0,-9.0
-59.0,2.0
-59.0,13.0
-59.0,10.0
-59.0,10.666666666666666
-59.0,1.6666666666666667
-59.0,18.333333333333332
-59.0,-3.6666666666666665
-59.0,16.0
-59.0,12.666666666666666
-59.0,17.0
-59.0,2.0
-59.0,8.666666666666666
-59.0,-13.0
-59.0,15.333333333333334
-59.0,9.0
-59.0,9.0
-59.0,5.666666666666667
-59.0,11.0
-59.0,19.333333333333332
-59.0,11.666666666666666
-59.0,3.0
-59.0,18.666666666666668
-59.0,11.333333333333334
-59.0,17.333333333333332
-59.0,12.333333333333334
-59.0,21.0
-59.0,11.0
-59.0,11.333333333333334
-59.0,8.666666666666666
-59.0,10.0
-59.0,14.333333333333334
-59.0,18.333333333333332
-59.0,-8.666666666666666
-59.0,20.0
-59.0,19.333333333333332
-59.0,4.666666666666667
-59.0,9.333333333333334
-59.0,9.333333333333334
-59.0,17.0
-59.0,9.333333333333334
-59.0,1.3333333333333333
-59.0,11.0
-59.0,9.0
-59.0,11.333333333333334
-59.0,17.666666666666668
-59.0,8.333333333333334
-59.0,4.0
-59.0,10.666666666666666
-59.0,3.0
-59.0,11.0
-59.0,11.0
-59.0,-9.333333333333334
-59.0,20.0
-59.0,17.0
-59.0,1.3333333333333333
-59.0,7.333333333333333
-59.0,12.0
-59.0,12.0
-59.0,12.0
-59.0,18.0
-59.0,16.333333333333332
-59.0,14.333333333333334
-59.0,6.666666666666667
-59.0,6.0
-59.0,17.0
-59.0,9.666666666666666
-59.0,17.333333333333332
-59.0,16.0
-59.0,11.333333333333334
-59.0,11.666666666666666
-59.0,11.333333333333334
-59.0,10.333333333333334
-59.0,2.0
-59.0,13.666666666666666
-59.0,11.666666666666666
-59.0,15.0
-59.0,2.3333333333333335
-59.0,16.666666666666668
-59.0,10.0
-59.0,13.0
-59.0,-11.666666666666666
-59.0,16.333333333333332
-59.0,13.0
-59.0,11.666666666666666
-59.0,9.0
-59.0,12.333333333333334
-59.0,19.333333333333332
-59.0,22.333333333333332
-59.0,13.333333333333334
-59.0,2.6666666666666665
-59.0,19.0
-59.0,11.333333333333334
-59.0,15.666666666666666
-59.0,5.666666666666667
-59.0,16.0
-59.0,13.333333333333334
-59.0,11.333333333333334
-59.0,16.666666666666668
-59.0,4.333333333333333
-59.0,17.0
-59.0,12.333333333333334
-59.0,10.333333333333334
-59.0,13.666666666666666
-59.0,4.666666666666667
-59.0,9.666666666666666
-59.0,16.0
-59.0,11.333333333333334
-59.0,18.333333333333332
-59.0,14.333333333333334
-59.0,-23.666666666666668
-59.0,16.333333333333332
-59.0,10.333333333333334
-59.0,18.0
-59.0,16.333333333333332
-59.0,16.333333333333332
-59.0,7.666666666666667
-59.0,12.0
-59.0,20.0
-59.0,15.0
-59.0,18.333333333333332
-59.0,7.333333333333333
-59.0,13.0
-59.0,2.3333333333333335
-59.0,20.0
-59.0,-17.333333333333332
-59.0,5.666666666666667
-59.0,2.6666666666666665
-59.0,2.6666666666666665
-59.0,19.0
-59.0,4.666666666666667
-59.0,-15.0
-59.0,5.333333333333333
-59.0,21.666666666666668
-59.0,5.0
-59.0,16.333333333333332
-59.0,17.666666666666668
-59.0,20.333333333333332
-59.0,20.333333333333332
-59.0,-1.3333333333333333
-59.0,16.666666666666668
-59.0,15.333333333333334
-59.0,15.666666666666666
-59.0,16.333333333333332
-59.0,-0.3333333333333333
-59.0,21.666666666666668
-59.0,11.666666666666666
-59.0,10.666666666666666
-59.0,20.333333333333332
-59.0,17.666666666666668
-59.0,13.666666666666666
-59.0,18.666666666666668
-59.0,4.0
-59.0,16.666666666666668
-59.0,23.0
-59.0,13.333333333333334
-59.0,18.333333333333332
-59.0,17.666666666666668
-59.0,-4.666666666666667
-59.0,21.333333333333332
-59.0,20.333333333333332
-59.0,15.0
-59.0,20.333333333333332
-59.0,16.0
-59.0,17.666666666666668
-59.0,5.666666666666667
-59.0,11.0
-59.0,-0.3333333333333333
-59.0,0.0
-59.0,17.666666666666668
-59.0,12.0
-59.0,14.333333333333334
-59.0,16.0
-59.0,15.666666666666666
-59.0,20.333333333333332
-59.0,17.666666666666668
-59.0,15.0
-59.0,13.0
-59.0,19.0
-59.0,8.0
-59.0,12.0
-59.0,16.666666666666668
-59.0,14.333333333333334
-59.0,13.333333333333334
-59.0,13.333333333333334
-59.0,18.333333333333332
-59.0,15.333333333333334
-59.0,-9.666666666666666
-59.0,16.333333333333332
-59.0,4.333333333333333
-59.0,5.333333333333333
-59.0,19.666666666666668
-59.0,18.333333333333332
-59.0,14.666666666666666
-59.0,-8.0
-59.0,16.0
-59.0,18.666666666666668
-59.0,17.666666666666668
-59.0,15.333333333333334
-59.0,-7.0
-59.0,15.0
-59.0,16.333333333333332
-59.0,18.333333333333332
-59.0,-10.666666666666666
-59.0,16.0
-59.0,11.666666666666666
-59.0,16.333333333333332
-59.0,19.333333333333332
-59.0,15.666666666666666
-59.0,19.333333333333332
-59.0,10.333333333333334
-59.0,18.333333333333332
-59.0,14.666666666666666
-59.0,-0.3333333333333333
-59.0,7.333333333333333
-59.0,0.0
-59.0,17.666666666666668
-59.0,5.333333333333333
-59.0,16.666666666666668
-59.0,7.666666666666667
-59.0,12.0
-59.0,20.666666666666668
-59.0,19.333333333333332
-59.0,13.0
-59.0,18.333333333333332
-59.0,20.0
-59.0,18.0
-59.0,20.666666666666668
-59.0,22.333333333333332
-59.0,18.0
-59.0,17.333333333333332
-59.0,16.666666666666668
-59.0,15.333333333333334
-59.0,14.666666666666666
-59.0,-1.3333333333333333
-59.0,12.333333333333334
-59.0,14.333333333333334
-59.0,12.666666666666666
-59.0,16.333333333333332
-59.0,19.666666666666668
-59.0,13.333333333333334
-59.0,16.666666666666668
-59.0,-9.0
-59.0,17.0
-59.0,15.666666666666666
-59.0,20.666666666666668
-59.0,19.0
-59.0,-1.6666666666666667
-59.0,2.3333333333333335
-59.0,17.0
-59.0,6.666666666666667
-59.0,17.666666666666668
-59.0,11.0
-59.0,1.6666666666666667
-59.0,13.0
-59.0,20.0
-59.0,17.666666666666668
-59.0,15.0
-59.0,6.333333333333333
-59.0,17.0
-59.0,20.0
-59.0,16.333333333333332
-59.0,18.333333333333332
-59.0,18.0
-59.0,18.666666666666668
-59.0,-14.333333333333334
-59.0,16.666666666666668
-59.0,15.666666666666666
-59.0,10.0
-59.0,14.0
-59.0,16.666666666666668
-59.0,18.0
-59.0,16.333333333333332
-59.0,16.666666666666668
-59.0,20.666666666666668
-59.0,17.333333333333332
-59.0,1.0
-59.0,16.666666666666668
-59.0,19.333333333333332
-59.0,18.0
-59.0,13.666666666666666
-59.0,16.666666666666668
-59.0,10.0
-59.0,8.666666666666666
-59.0,9.333333333333334
-59.0,9.0
-59.0,16.333333333333332
-59.0,18.333333333333332
-59.0,20.0
-59.0,7.666666666666667
-59.0,20.666666666666668
-59.0,19.0
-59.0,15.0
-59.0,19.333333333333332
-59.0,6.666666666666667
-59.0,18.666666666666668
-59.0,10.666666666666666
-59.0,19.333333333333332
-59.0,21.666666666666668
-59.0,17.333333333333332
-59.0,9.0
-59.0,4.666666666666667
-59.0,18.0
-59.0,19.666666666666668
-59.0,22.666666666666668
-59.0,19.333333333333332
-59.0,8.333333333333334
-59.0,3.6666666666666665
-59.0,9.0
-59.0,20.0
-52.0,19.333333333333332
-59.0,18.0
-59.0,2.6666666666666665
-59.0,21.333333333333332
-59.0,17.0
-59.0,17.333333333333332
-59.0,21.333333333333332
-59.0,16.666666666666668
-52.0,17.0
-59.0,3.3333333333333335
-59.0,3.6666666666666665
-59.0,20.0
-59.0,23.0
-59.0,7.666666666666667
-59.0,18.333333333333332
-59.0,17.333333333333332
-59.0,23.0
-59.0,5.666666666666667
-59.0,7.666666666666667
-59.0,24.0
-59.0,-3.3333333333333335
-59.0,18.0
-59.0,20.333333333333332
-59.0,10.0
-59.0,3.0
-59.0,7.333333333333333
-59.0,7.0
-59.0,8.333333333333334
-59.0,12.333333333333334
-59.0,1.3333333333333333
-59.0,18.0
-59.0,18.0
-52.0,21.666666666666668
-59.0,4.333333333333333
-59.0,19.0
-59.0,4.666666666666667
-59.0,18.333333333333332
-59.0,1.6666666666666667
-59.0,5.333333333333333
-59.0,-3.0
-59.0,6.333333333333333
-59.0,8.666666666666666
-59.0,21.666666666666668
-59.0,20.333333333333332
-59.0,20.0
-59.0,24.666666666666668
-59.0,22.666666666666668
-59.0,4.666666666666667
-59.0,19.0
-59.0,-7.333333333333333
-52.0,21.666666666666668
-59.0,16.0
-59.0,17.666666666666668
-59.0,19.0
-59.0,24.666666666666668
-59.0,23.0
-59.0,1.3333333333333333
-59.0,21.666666666666668
-59.0,20.0
-59.0,18.333333333333332
-59.0,18.666666666666668
-59.0,4.0
-59.0,13.333333333333334
-59.0,21.0
-59.0,20.0
-52.0,17.666666666666668
-59.0,-2.0
-59.0,6.0
-59.0,10.333333333333334
-59.0,17.666666666666668
-59.0,17.333333333333332
-59.0,2.3333333333333335
-59.0,18.0
-59.0,14.0
-59.0,17.333333333333332
-59.0,17.0
-59.0,16.333333333333332
-59.0,19.666666666666668
-59.0,12.333333333333334
-59.0,17.0
-59.0,9.666666666666666
-59.0,18.333333333333332
-59.0,21.0
-59.0,7.666666666666667
-59.0,16.666666666666668
-59.0,2.0
-59.0,16.0
-59.0,4.0
-52.0,20.666666666666668
-59.0,5.333333333333333
-59.0,3.3333333333333335
-59.0,8.0
-59.0,16.666666666666668
-59.0,16.333333333333332
-52.0,7.0
-59.0,19.666666666666668
-59.0,15.0
-59.0,15.666666666666666
-59.0,15.666666666666666
-59.0,19.0
-59.0,10.333333333333334
-59.0,9.666666666666666
-59.0,22.333333333333332
-59.0,19.0
-59.0,17.666666666666668
-59.0,12.666666666666666
-59.0,7.0
-59.0,10.0
-59.0,10.666666666666666
-59.0,13.0
-52.0,4.0
-59.0,7.666666666666667
-59.0,18.333333333333332
-59.0,8.333333333333334
-59.0,18.333333333333332
-59.0,16.0
-52.0,7.333333333333333
-59.0,-3.3333333333333335
-59.0,18.666666666666668
-59.0,20.0
-59.0,20.333333333333332
-59.0,24.333333333333332
-59.0,16.333333333333332
-59.0,19.0
-59.0,15.666666666666666
-59.0,18.666666666666668
-59.0,9.333333333333334
-59.0,11.333333333333334
-59.0,19.666666666666668
-59.0,13.666666666666666
-59.0,19.333333333333332
-59.0,11.666666666666666
-59.0,8.666666666666666
-59.0,13.666666666666666
-52.0,19.666666666666668
-59.0,9.666666666666666
-59.0,9.666666666666666
-59.0,5.666666666666667
-59.0,15.666666666666666
-59.0,-15.0
-59.0,20.0
-59.0,21.333333333333332
-59.0,22.333333333333332
-59.0,16.333333333333332
-59.0,14.666666666666666
-52.0,18.0
-59.0,22.0
-59.0,6.333333333333333
-59.0,7.0
-52.0,9.666666666666666
-59.0,15.0
-59.0,20.666666666666668
-59.0,6.0
-59.0,4.333333333333333
-59.0,18.333333333333332
-59.0,18.0
-59.0,18.333333333333332
-59.0,18.0
-52.0,9.666666666666666
-59.0,20.666666666666668
-59.0,20.666666666666668
-59.0,20.666666666666668
-59.0,0.0
-52.0,18.333333333333332
-59.0,22.666666666666668
-52.0,18.666666666666668
-59.0,17.0
-59.0,19.333333333333332
-52.0,18.333333333333332
-52.0,17.0
-52.0,20.0
-52.0,0.6666666666666666
-52.0,2.6666666666666665
-52.0,20.333333333333332
-52.0,18.666666666666668
-52.0,19.666666666666668
-52.0,4.666666666666667
-52.0,15.666666666666666
-52.0,20.666666666666668
-52.0,2.3333333333333335
-52.0,20.666666666666668
-52.0,18.0
-52.0,19.0
-52.0,21.0
-52.0,17.333333333333332
-52.0,19.333333333333332
-52.0,-6.666666666666667
-52.0,8.666666666666666
-52.0,17.333333333333332
-52.0,17.666666666666668
-52.0,20.333333333333332
-52.0,18.0
-52.0,6.333333333333333
-52.0,9.333333333333334
-52.0,20.0
-52.0,8.0
-52.0,20.333333333333332
-52.0,10.333333333333334
-52.0,17.0
-52.0,19.333333333333332
-52.0,15.666666666666666
-52.0,11.0
-52.0,23.0
-52.0,14.0
-52.0,18.333333333333332
-52.0,21.0
-52.0,21.333333333333332
-52.0,14.333333333333334
-52.0,17.666666666666668
-52.0,17.666666666666668
-52.0,15.0
-52.0,13.333333333333334
-52.0,21.333333333333332
-52.0,16.333333333333332
-52.0,20.333333333333332
-52.0,23.666666666666668
-52.0,9.0
-52.0,17.333333333333332
-52.0,19.333333333333332
-52.0,19.666666666666668
-52.0,24.0
-52.0,22.0
-52.0,19.333333333333332
-52.0,10.0
-52.0,16.333333333333332
-52.0,19.666666666666668
-52.0,21.333333333333332
-52.0,9.666666666666666
-52.0,18.333333333333332
-52.0,11.0
-52.0,24.0
-52.0,18.333333333333332
-52.0,20.333333333333332
-52.0,18.666666666666668
-52.0,11.0
-52.0,7.333333333333333
-52.0,18.0
-52.0,19.666666666666668
-52.0,14.666666666666666
-52.0,20.666666666666668
-52.0,23.666666666666668
-52.0,21.666666666666668
-52.0,21.0
-52.0,21.333333333333332
-52.0,20.666666666666668
-52.0,20.666666666666668
-52.0,16.666666666666668
-52.0,17.0
-52.0,17.666666666666668
-52.0,20.0
-52.0,7.333333333333333
-52.0,20.666666666666668
-52.0,7.333333333333333
-52.0,20.0
-52.0,20.0
-52.0,7.333333333333333
-52.0,18.666666666666668
-52.0,8.0
-52.0,21.666666666666668
-52.0,17.333333333333332
-52.0,15.666666666666666
-52.0,16.666666666666668
-52.0,17.666666666666668
-52.0,21.333333333333332
-52.0,19.333333333333332
-52.0,19.0
-52.0,18.666666666666668
-52.0,24.333333333333332
-52.0,17.333333333333332
-52.0,17.0
-52.0,18.0
-52.0,21.333333333333332
-52.0,22.333333333333332
-52.0,14.666666666666666
-52.0,21.0
-52.0,17.0
-52.0,17.333333333333332
-52.0,18.666666666666668
-52.0,18.333333333333332
-52.0,17.0
-52.0,19.0
-52.0,21.666666666666668
-52.0,16.0
-52.0,16.333333333333332
-52.0,21.0
-52.0,21.0
-52.0,20.0
-52.0,22.333333333333332
-52.0,22.666666666666668
-52.0,21.0
-52.0,9.0
-52.0,16.0
-52.0,23.666666666666668
-52.0,21.333333333333332
-52.0,22.333333333333332
-52.0,15.0
-52.0,19.666666666666668
-52.0,16.0
-52.0,20.666666666666668
-52.0,5.333333333333333
-52.0,17.0
-52.0,19.0
-52.0,17.333333333333332
-52.0,19.333333333333332
-52.0,17.333333333333332
-52.0,17.333333333333332
-52.0,20.666666666666668
-52.0,16.333333333333332
-52.0,16.666666666666668
-52.0,10.333333333333334
-52.0,20.666666666666668
-52.0,9.666666666666666
-52.0,18.0
-52.0,21.0
-52.0,21.0
-52.0,16.0
-52.0,18.333333333333332
-52.0,19.333333333333332
-52.0,17.666666666666668
-52.0,18.666666666666668
-52.0,18.666666666666668
-52.0,18.333333333333332
-52.0,19.333333333333332
-52.0,22.666666666666668
-52.0,12.666666666666666
-52.0,15.666666666666666
-52.0,17.333333333333332
-52.0,22.0
-52.0,21.0
-52.0,21.666666666666668
-52.0,19.333333333333332
-52.0,20.333333333333332
-52.0,20.666666666666668
-52.0,19.333333333333332
-52.0,16.0
-52.0,20.333333333333332
-52.0,17.0
-52.0,19.0
-52.0,22.666666666666668
-52.0,19.333333333333332
-52.0,19.333333333333332
-52.0,18.333333333333332
-52.0,17.666666666666668
-52.0,21.0
-52.0,16.333333333333332
-52.0,22.0
-52.0,13.666666666666666
-52.0,5.333333333333333
-52.0,17.666666666666668
-52.0,19.0
-52.0,16.333333333333332
-52.0,18.0
-52.0,13.0
-52.0,14.666666666666666
-52.0,16.333333333333332
-52.0,18.333333333333332
-52.0,23.0
-52.0,18.333333333333332
-52.0,18.333333333333332
-52.0,17.0
-52.0,14.666666666666666
-52.0,21.666666666666668
-52.0,16.666666666666668
-52.0,21.0
-52.0,19.666666666666668
-52.0,24.666666666666668
-52.0,21.666666666666668
-52.0,15.666666666666666
-52.0,18.0
-52.0,14.333333333333334
-52.0,17.666666666666668
-52.0,21.0
-52.0,24.333333333333332
-52.0,19.333333333333332
-52.0,18.666666666666668
-52.0,12.0
-52.0,22.0
-52.0,16.333333333333332
-52.0,18.0
-52.0,10.333333333333334
-52.0,19.0
-52.0,18.333333333333332
-52.0,19.666666666666668
-52.0,21.333333333333332
-52.0,18.333333333333332
-52.0,14.333333333333334
-52.0,16.666666666666668
-52.0,14.333333333333334
-52.0,13.666666666666666
-52.0,23.0
-52.0,17.666666666666668
-52.0,19.333333333333332
-52.0,9.333333333333334
-52.0,20.333333333333332
-52.0,16.0
-52.0,16.666666666666668
-52.0,20.666666666666668
-52.0,21.0
-52.0,20.666666666666668
-52.0,14.333333333333334
-52.0,20.333333333333332
-52.0,21.0
